ClassID,ClassName,Units,Credit,Terms,Prereqs,id
CPE 100,"Computer Engineering Orientation","1 unit",CR/NC,F,,1
CPE 101,"Fundamentals of Computer Science","4 units",Graded,"F, W, SP","MATH 117 || MATH 118",2
CPE 105,"Fundamentals of Computer Science I Supplemental Instruction","1 unit",CR/NC,TBD,CPE/CSC 101,3
CPE 108,"Accelerated Introduction to Computer Science","4 units",Graded,TBD,MATH 118,4
CPE 123,"Introduction to Computing","4 units",Graded,F,,5
CPE 133,"Digital Design","4 units",Graded,"F,W,SP,SU","((EE 111 && EE 151) || CPE 100) && CPE/CSC 101",6
CPE 200,"Special Problems for Undergraduates","1-2 units",Graded,"F,W,SP,SU",,7
CPE 202,"Data Structures","4 units",Graded,"F, W, SP","CPE/CSC 101 && (MATH 141 || MATH 221)",8
CPE 203,"Project-Based Object-Oriented Programming and Design","4 units",Graded,"F, W, SP","CPE/CSC 202 ",9
CPE 233,"Computer Design and Assembly Language Programming","4 units",Graded,"F, W, SP",CPE/EE 133,10
CPE 290,"Selected Topics","1-4 units",Graded,TBD,,11
CPE 315,"Computer Architecture","4 units",Graded,"F, W, SP","((CSC/CPE 102 && CSC/CPE 103) || (CSC/CPE 202 && CSC/CPE 203)) && (CSC 225 || CPE/EE 229 || CPE/EE 233)",12
CPE 316,"Microcontrollers and Embedded Applications","4 units",Graded,"F, SP","CPE 357 && EE 211",13
CPE 321,"Introduction to Computer Security","4 units",Graded,"F, W",CPE/CSC 357,14
CPE 327,"Digital Signals and Systems","3 units",Graded,"F, W","EE 212 && MATH 244",15
CPE 328,"Discrete Time Signals and Systems","3 units",Graded,"F, W, SP","BMED 355 || EE 228",16
CPE 329,"Microcontroller-Based Systems Design","4 units",Graded,"F, SP","EE 307 && EE 347 && ((EE 229 && EE 269) || CPE/EE 233)",17
CPE 333,"Computer Hardware Architecture and Design","4 units",Graded,SP,"CPE 101 && CPE 233",18
CPE 336,"Microprocessor System Design","4 units",Graded,"F, SP",CPE/EE 233,19
CPE 350,"Capstone I","4 units",Graded,F,"CPE 316 || CPE 329 || CPE 336",20
CPE 357,"Systems Programming","4 units",Graded,"F, W, SP","((CSC/CPE 102 && CSC/CPE 103) || (CSC/CPE 202 && CSC/CPE 203)) && (CSC 225 || CPE/EE 229 || CPE/EE 233)",21
CPE 367,"Digital Signals and Systems Laboratory","1 unit",Graded,"F, W",EE 242,22
CPE 368,"Signals and Systems Laboratory","1 unit",Graded,"F, W, SP","BMED 355 || EE 228",23
CPE 400,"Special Problems for Undergraduates","1-4 units",Graded,"F,W,SP,SU",,24
CPE 414,"Robotic Systems Integration","4 units",Graded,W,"EE/CPE 329 || EE/CPE 336 || CSC/CPE 357 || ME 305",25
CPE 416,"Autonomous Mobile Robotics","4 units",Graded,TBD,"CPE/EE 329 || CPE/EE 336 || (CPE 315 && CPE/CSC 357)",26
CPE 419,"Applied Parallel Computing","4 units",Graded,TBD,"CPE/CSC 357 && (CSC 141 || CSC 348)",27
CPE 422,"Network and Web Security","4 units",Graded,SP,CPE 464,28
CPE 426,"Introduction to Hardware Security","4 units",Graded,SP,"(CPE 315 || CPE 333) && CPE 233",29
CPE 428,"Computer Vision","4 units",Graded,W,"CPE 327 or CPE/CSC 357 or EE 328 or ME 305",30
CPE 431,"Compiler Construction","4 units",Graded,"F, W, SP",CSC 430,31
CPE 432,"Digital Control Systems","3 units",Graded,F,"(EE 302 && EE 342) || (CPE 327 && CPE 367)",32
CPE 439,"Introduction to Real-Time Operating Systems","4 units",Graded,F,"CPE/EE 329 || CPE/EE 336",33
CPE 441,"Computer-Aided Design of VLSI Devices","4 units",Graded,F,"EE 307 && EE 347",34
CPE 442,"Real Time Embedded Systems","4 units",Graded,F,"CPE/EE 329 || CPE/EE 336 || CPE 316",35
CPE 446,"Design of Fault-Tolerant Digital Systems","4 units",Graded,F,"CPE/EE 329 || CPE/EE 336 || CPE 316",36
CPE 447,"Stringed Musical Instrument Acoustics, Mechanics, and Transducer Design","4 units",Graded,W,"EE/CPE 329 || EE/CPE 336 || CPE 316 || ME 305",37
CPE 450,"Capstone II","3 units",Graded,W,CPE 350,38
CPE 453,"Introduction to Operating Systems","4 units",Graded,"F, W, SP","CSC/CPE 357 && (CSC/CPE 225 || CPE/EE 229 || CPE/EE 233)",39
CPE 454,"Implementation of Operating Systems","4 units",Graded,TBD,CSC/CPE 453,40
CPE 458,"Current Topics in Computer Systems","4 units",Graded,TBD,CSC/CPE 357,41
CPE 461,"Senior Project I","3 units",Graded,"F,W,SP,SU",CPE 350,42
CPE 462,"Senior Project II","2 units",Graded,"F,W,SP,SU",CPE 450,43
CPE 464,"Introduction to Computer Networks","4 units",Graded,"F, W, SP",CSC/CPE 357,44
CPE 465,"Advanced Computer Networks","4 units",Graded,TBD,"CSC/CPE 453 && CPE 464",45
CPE 469,"Distributed Systems","4 units",Graded,F,CSC/CPE 357,46
CPE 470,"Selected Advanced Topics","1-4 units",Graded,TBD,,47
CPE 471,"Introduction to Computer Graphics","4 units",Graded,"F, W, SP",CPE/CSC 357,48
CPE 472,"Digital Control Systems Laboratory","1 unit",Graded,F,CPE/EE 432,49
CPE 476,"Real-Time 3D Computer Graphics Software","4 units",Graded,TBD,CSC/CPE 471,50
CPE 479,"Selected Advanced Laboratory","1-4 units",Graded,TBD,,51
CPE 482,"Advanced Topics in Systems for Computer Engineering","4 units",Graded,TBD,CPE 350,52
CPE 485,"Autonomous Robot Navigation","4 units",Graded,TBD,CPE/CSC 357,53
CPE 488,"Microelectronics and Electronics Packaging","4 units",Graded,"F, W, SP","EE 112 || EE 113 || EE 201",54
CPE 493,"Cooperative Education Experience","2 units",CR/NC,"F,W,SP,SU",,55
CPE 494,"Cooperative Education Experience","6 units",CR/NC,"F,W,SP,SU",,56
CPE 495,"Cooperative Education Experience","12 units",CR/NC,"F,W,SP,SU",,57
